@RELATION D4

@ATTRIBUTE interfailuretime REAL
@ATTRIBUTE cumulativefailuretime {15,35,60,74,94,102,114,134,139,141,148,149,157,173,179,182,184,185,187,191,192}

@DATA
1,15
2,35
3,60
4,74
5,94
6,102
7,114
8,134
9,139
10,141
11,148
12,149
13,157
14,173
15,179
16,182
17,184
18,185
19,187
20,191
21,192
