@RELATION D3

@ATTRIBUTE interfailuretime REAL
@ATTRIBUTE cumulativefailuretime {90,107,126,145,171,188,189,190,192,203,204}

@DATA
1,90
2,107
3,126
4,145
5,171
6,188
7,189
8,190
9,190
10,190
11,192
12,192
13,192
14,192
15,203
16,203
17,204
